nominal;data;curs;cdx
1;01.09.2010;39,0127;Åâðî
1;02.09.2010;39,1654;Åâðî
1;03.09.2010;39,2901;Åâðî
1;04.09.2010;39,3505;Åâðî
1;07.09.2010;39,4720;Åâðî
1;08.09.2010;39,3215;Åâðî
1;09.09.2010;39,2948;Åâðî
1;10.09.2010;39,1868;Åâðî
1;11.09.2010;39,1917;Åâðî
1;14.09.2010;39,3235;Åâðî
1;15.09.2010;39,5264;Åâðî
1;16.09.2010;39,9107;Åâðî
1;17.09.2010;40,3166;Åâðî
1;18.09.2010;40,8115;Åâðî
1;21.09.2010;40,5416;Åâðî
1;22.09.2010;40,6483;Åâðî
1;23.09.2010;41,2254;Åâðî
1;24.09.2010;41,5380;Åâðî
1;25.09.2010;41,2599;Åâðî
1;28.09.2010;41,2220;Åâðî
1;29.09.2010;41,0884;Åâðî
1;30.09.2010;41,3481;Åâðî
1;01.10.2010;41,4392;Åâðî
1;02.10.2010;41,6606;Åâðî
1;05.10.2010;41,9747;Åâðî
1;06.10.2010;41,7156;Åâðî
1;07.10.2010;41,4017;Åâðî
1;08.10.2010;41,3564;Åâðî
1;09.10.2010;41,6717;Åâðî
1;12.10.2010;41,6600;Åâðî
1;13.10.2010;41,5895;Åâðî
1;14.10.2010;42,0451;Åâðî
1;15.10.2010;42,1585;Åâðî
1;16.10.2010;42,3939;Åâðî
1;19.10.2010;42,3577;Åâðî
1;20.10.2010;42,2983;Åâðî
1;21.10.2010;42,4411;Åâðî
1;22.10.2010;42,8781;Åâðî
1;23.10.2010;42,5351;Åâðî
1;26.10.2010;42,4975;Åâðî
1;27.10.2010;42,4658;Åâðî
1;28.10.2010;42,1841;Åâðî
1;29.10.2010;42,4316;Åâðî
1;30.10.2010;42,7256;Åâðî
1;02.11.2010;42,9848;Åâðî
1;03.11.2010;42,9147;Åâðî
1;04.11.2010;43,1654;Åâðî
1;09.11.2010;42,9854;Åâðî
1;10.11.2010;42,7798;Åâðî
1;11.11.2010;42,3004;Åâðî
1;12.11.2010;42,0590;Åâðî
1;13.11.2010;41,8779;Åâðî
1;14.11.2010;42,2311;Åâðî
1;16.11.2010;42,1715;Åâðî
1;17.11.2010;42,2175;Åâðî
1;18.11.2010;42,2863;Åâðî
1;19.11.2010;42,4069;Åâðî
1;20.11.2010;42,3568;Åâðî
1;23.11.2010;42,6367;Åâðî
1;24.11.2010;42,4036;Åâðî
1;25.11.2010;41,9168;Åâðî
1;26.11.2010;41,6956;Åâðî
1;27.11.2010;41,6192;Åâðî
1;30.11.2010;41,5682;Åâðî
1;01.12.2010;41,0814;Åâðî
1;02.12.2010;41,0620;Åâðî
1;03.12.2010;41,2276;Åâðî
1;04.12.2010;41,3374;Åâðî
1;07.12.2010;41,7677;Åâðî
1;08.12.2010;41,6525;Åâðî
1;09.12.2010;41,2720;Åâðî
1;10.12.2010;41,2106;Åâðî
1;11.12.2010;40,9394;Åâðî
1;14.12.2010;40,8042;Åâðî
1;15.12.2010;41,2932;Åâðî
1;16.12.2010;40,8851;Åâðî
1;17.12.2010;40,6798;Åâðî
1;18.12.2010;40,7979;Åâðî
1;21.12.2010;40,5055;Åâðî
1;22.12.2010;40,4720;Åâðî
1;23.12.2010;40,3582;Åâðî
1;24.12.2010;40,1706;Åâðî
1;25.12.2010;40,1548;Åâðî
1;28.12.2010;40,0594;Åâðî
1;29.12.2010;40,0226;Åâðî
1;30.12.2010;39,9011;Åâðî
1;31.12.2010;40,3331;Åâðî
1;01.01.2011;40,4876;Åâðî
1;12.01.2011;39,6076;Åâðî
1;13.01.2011;39,5154;Åâðî
1;14.01.2011;39,4815;Åâðî
1;15.01.2011;40,1264;Åâðî
1;18.01.2011;39,9680;Åâðî
1;19.01.2011;39,9066;Åâðî
1;20.01.2011;40,1895;Åâðî
1;21.01.2011;40,2113;Åâðî
1;22.01.2011;40,5807;Åâðî
1;25.01.2011;40,5624;Åâðî
1;26.01.2011;40,7027;Åâðî
1;27.01.2011;40,7198;Åâðî
1;28.01.2011;40,6205;Åâðî
1;29.01.2011;40,6487;Åâðî
1;01.02.2011;40,5811;Åâðî
1;02.02.2011;40,7368;Åâðî
1;03.02.2011;40,7258;Åâðî
1;04.02.2011;40,5279;Åâðî
1;05.02.2011;40,0819;Åâðî
1;08.02.2011;39,9593;Åâðî
1;09.02.2011;39,8892;Åâðî
1;10.02.2011;39,9871;Åâðî
1;11.02.2011;40,1350;Åâðî
1;12.02.2011;39,7667;Åâðî
1;15.02.2011;39,6040;Åâðî
1;16.02.2011;39,4703;Åâðî
1;17.02.2011;39,6802;Åâðî
1;18.02.2011;39,6821;Åâðî
1;19.02.2011;39,7682;Åâðî
1;22.02.2011;39,8868;Åâðî
1;23.02.2011;39,6795;Åâðî
1;25.02.2011;40,0294;Åâðî
1;26.02.2011;40,0073;Åâðî
1;01.03.2011;39,8136;Åâðî
1;02.03.2011;39,7219;Åâðî
1;03.03.2011;39,3974;Åâðî
1;04.03.2011;39,2752;Åâðî
1;05.03.2011;39,3476;Åâðî
1;06.03.2011;39,4038;Åâðî
1;10.03.2011;39,3039;Åâðî
1;11.03.2011;39,3151;Åâðî
1;12.03.2011;39,5375;Åâðî
1;15.03.2011;39,9347;Åâðî
1;16.03.2011;39,9813;Åâðî
1;17.03.2011;40,0728;Åâðî
1;18.03.2011;40,1097;Åâðî
1;19.03.2011;40,0633;Åâðî
1;22.03.2011;40,1996;Åâðî
1;23.03.2011;40,0858;Åâðî
1;24.03.2011;40,0642;Åâðî
1;25.03.2011;39,9495;Åâðî
1;26.03.2011;40,0156;Åâðî
1;29.03.2011;39,9288;Åâðî
1;30.03.2011;40,0325;Åâðî
1;31.03.2011;40,0223;Åâðî
1;01.04.2011;40,3875;Åâðî
1;02.04.2011;40,1980;Åâðî
1;05.04.2011;40,1624;Åâðî
1;06.04.2011;40,1652;Åâðî
1;07.04.2011;40,2789;Åâðî
1;08.04.2011;40,3528;Åâðî
1;09.04.2011;40,4859;Åâðî
1;12.04.2011;40,4390;Åâðî
1;13.04.2011;40,5268;Åâðî
1;14.04.2011;40,7604;Åâðî
1;15.04.2011;40,8791;Åâðî
1;16.04.2011;40,8304;Åâðî
1;19.04.2011;40,4739;Åâðî
1;20.04.2011;40,4407;Åâðî
1;21.04.2011;40,5523;Åâðî
1;22.04.2011;40,8117;Åâðî
1;23.04.2011;40,7443;Åâðî
1;26.04.2011;40,7933;Åâðî
1;27.04.2011;40,5837;Åâðî
1;28.04.2011;40,6681;Åâðî
1;29.04.2011;40,8121;Åâðî
1;30.04.2011;40,8078;Åâðî
